ID,scheme,BER,state,total_frames,retransmission,time(ms),efficiency,throughput
8590,ARQ,0.03,1,50,88,0.4925,0.289855,3248.73
8591,ARQ,0.03,1,50,108,0.5525,0.253165,2895.93
8592,ARQ,0.03,1,50,111,0.5629,0.248447,2842.42
8593,ARQ,0.03,0,50,132,0.6129,0.21978,2610.54
8594,ARQ,0.03,1,50,88,0.4937,0.289855,3240.83
8595,ARQ,0.03,0,50,121,0.5814,0.233918,2751.98
8596,ARQ,0.03,0,50,115,0.5703,0.242424,2805.54
8597,ARQ,0.03,1,50,72,0.4624,0.327869,3460.21
8598,ARQ,0.03,1,50,149,0.6671,0.201005,2398.44
8599,ARQ,0.03,1,50,111,0.6025,0.248447,2655.6
8600,ARQ,0.03,1,50,146,0.6536,0.204082,2447.98
8601,ARQ,0.03,1,50,110,0.5549,0.25,2883.4
8602,ARQ,0.03,1,50,110,0.5682,0.25,2815.91
8603,ARQ,0.03,1,50,149,0.6617,0.201005,2418.01
8604,ARQ,0.03,1,50,90,0.512,0.285714,3125
8605,ARQ,0.03,1,50,115,0.5778,0.242424,2769.12
8606,ARQ,0.03,1,50,128,0.6079,0.224719,2632.01
8607,ARQ,0.03,1,50,139,0.6417,0.21164,2493.38
8608,ARQ,0.03,1,50,127,0.5984,0.225989,2673.8
8609,ARQ,0.03,1,50,116,0.594,0.240964,2693.6
8610,ARQ,0.03,0,50,138,0.6273,0.212766,2550.61
8611,ARQ,0.03,1,50,95,0.5267,0.275862,3037.78
8612,ARQ,0.03,1,50,96,0.5235,0.273973,3056.35
8613,ARQ,0.03,1,50,111,0.5556,0.248447,2879.77
8614,ARQ,0.03,0,50,97,0.5151,0.272109,3106.19
8615,ARQ,0.03,0,50,120,0.5984,0.235294,2673.8
8616,ARQ,0.03,1,50,87,0.4968,0.291971,3220.61
8617,ARQ,0.03,0,50,128,0.5987,0.224719,2672.46
8618,ARQ,0.03,1,50,99,0.5362,0.268456,2983.96
8619,ARQ,0.03,1,50,157,0.696,0.193237,2298.85
8620,ARQ,0.03,1,50,125,0.5952,0.228571,2688.17
8621,ARQ,0.03,0,50,121,0.5852,0.233918,2734.11
8622,ARQ,0.03,1,50,110,0.6181,0.25,2588.58
8623,ARQ,0.03,0,50,119,0.5821,0.236686,2748.67
8624,ARQ,0.03,1,50,103,0.5392,0.261438,2967.36
8625,ARQ,0.03,1,50,141,0.6485,0.209424,2467.23
8626,ARQ,0.03,1,50,111,0.563,0.248447,2841.92
8627,ARQ,0.03,1,50,121,0.5839,0.233918,2740.2
8628,ARQ,0.03,1,50,122,0.6346,0.232558,2521.27
8629,ARQ,0.03,1,50,73,0.4645,0.325203,3444.56
8630,ARQ,0.03,1,50,97,0.5184,0.272109,3086.42
8631,ARQ,0.03,1,50,147,0.6555,0.203046,2440.88
8632,ARQ,0.03,1,50,112,0.569,0.246914,2811.95
8633,ARQ,0.03,1,50,115,0.5762,0.242424,2776.81
8634,ARQ,0.03,1,50,106,0.5809,0.25641,2754.35
8635,ARQ,0.03,0,50,119,0.5936,0.236686,2695.42
8636,ARQ,0.03,1,50,117,0.577,0.239521,2772.96
8637,ARQ,0.03,0,50,121,0.5929,0.233918,2698.6
8638,ARQ,0.03,0,50,117,0.582,0.239521,2749.14
8639,ARQ,0.03,1,50,106,0.547,0.25641,2925.05
8640,ARQ,0.03,1,50,140,0.639,0.210526,2503.91
8641,ARQ,0.03,1,50,87,0.495,0.291971,3232.32
8642,ARQ,0.03,1,50,117,0.575,0.239521,2782.61
8643,ARQ,0.03,1,50,111,0.5645,0.248447,2834.37
8644,ARQ,0.03,1,50,84,0.4889,0.298507,3272.65
8645,ARQ,0.03,1,50,124,0.6709,0.229885,2384.86
8646,ARQ,0.03,1,50,104,0.5455,0.25974,2933.09
8647,ARQ,0.03,1,50,120,0.5813,0.235294,2752.45
8648,ARQ,0.03,1,50,99,0.5399,0.268456,2963.51
8649,ARQ,0.03,1,50,127,0.5974,0.225989,2678.27
8650,ARQ,0.03,1,50,143,0.6463,0.207254,2475.63
8651,ARQ,0.03,1,50,116,0.5764,0.240964,2775.85
8652,ARQ,0.03,1,50,86,0.495,0.294118,3232.32
8653,ARQ,0.03,1,50,102,0.538,0.263158,2973.98
8654,ARQ,0.03,1,50,145,0.6465,0.205128,2474.86
8655,ARQ,0.03,1,50,123,0.59,0.231214,2711.86
8656,ARQ,0.03,1,50,143,0.6472,0.207254,2472.19
8657,ARQ,0.03,1,50,104,0.5382,0.25974,2972.87
8658,ARQ,0.03,1,50,126,0.6007,0.227273,2663.56
8659,ARQ,0.03,1,50,107,0.5638,0.254777,2837.89
8660,ARQ,0.03,1,50,130,0.6277,0.222222,2548.99
8661,ARQ,0.03,1,50,127,0.5993,0.225989,2669.78
8662,ARQ,0.03,0,50,120,0.5826,0.235294,2746.31
8663,ARQ,0.03,1,50,127,0.5985,0.225989,2673.35
8664,ARQ,0.03,1,50,132,0.6193,0.21978,2583.56
8665,ARQ,0.03,1,50,93,0.509,0.27972,3143.42
8666,ARQ,0.03,1,50,110,0.5691,0.25,2811.46
8667,ARQ,0.03,1,50,117,0.5871,0.239521,2725.26
8668,ARQ,0.03,1,50,107,0.5536,0.254777,2890.17
8669,ARQ,0.03,1,50,146,0.7525,0.204082,2126.25
8670,ARQ,0.03,0,50,152,0.6774,0.19802,2361.97
8671,ARQ,0.03,0,50,129,0.6202,0.223464,2579.81
8672,ARQ,0.03,1,50,126,0.6011,0.227273,2661.79
8673,ARQ,0.03,0,50,115,0.5673,0.242424,2820.38
8674,ARQ,0.03,1,50,133,0.6218,0.218579,2573.17
8675,ARQ,0.03,1,50,131,0.6243,0.220994,2562.87
8676,ARQ,0.03,1,50,100,0.5315,0.266667,3010.35
8677,ARQ,0.03,1,50,93,0.5191,0.27972,3082.26
8678,ARQ,0.03,1,50,108,0.5541,0.253165,2887.57
8679,ARQ,0.03,1,50,92,0.5057,0.28169,3163.93
8680,ARQ,0.03,0,50,165,0.7087,0.186047,2257.65
8681,ARQ,0.03,1,50,95,0.5163,0.275862,3098.97
8682,ARQ,0.03,1,50,118,0.5749,0.238095,2783.09
8683,ARQ,0.03,1,50,100,0.5431,0.266667,2946.05
8684,ARQ,0.03,0,50,127,0.5989,0.225989,2671.56
8685,ARQ,0.03,0,50,93,0.5056,0.27972,3164.56
8686,ARQ,0.03,1,50,109,0.5569,0.251572,2873.05
8687,ARQ,0.03,1,50,102,0.5357,0.263158,2986.75
8688,ARQ,0.03,1,50,122,0.5994,0.232558,2669.34
8689,ARQ,0.03,1,50,116,0.6502,0.240964,2460.78
8690,ARQ,0.03,0,50,126,0.6514,0.227273,2456.25
8691,ARQ,0.03,1,50,125,0.6363,0.228571,2514.54
8692,ARQ,0.03,1,50,156,0.693,0.194175,2308.8
8693,ARQ,0.03,1,50,100,0.581,0.266667,2753.87
8694,ARQ,0.03,1,50,107,0.6076,0.254777,2633.31
8695,ARQ,0.03,1,50,106,0.5786,0.25641,2765.3
8696,ARQ,0.03,0,50,139,0.6315,0.21164,2533.65
8697,ARQ,0.03,1,50,155,0.6758,0.195122,2367.56
8698,ARQ,0.03,0,50,126,0.6022,0.227273,2656.92
8699,ARQ,0.03,0,50,112,0.5605,0.246914,2854.59
8700,ARQ,0.03,1,50,133,0.641,0.218579,2496.1
8701,ARQ,0.03,1,50,102,0.5404,0.263158,2960.77
8702,ARQ,0.03,1,50,125,0.5994,0.228571,2669.34
8703,ARQ,0.03,1,50,95,0.5153,0.275862,3104.99
8704,ARQ,0.03,1,50,115,0.5721,0.242424,2796.71
8705,ARQ,0.03,1,50,122,0.592,0.232558,2702.7
8706,ARQ,0.03,0,50,134,0.6214,0.217391,2574.83
8707,ARQ,0.03,1,50,114,0.5727,0.243902,2793.78
8708,ARQ,0.03,1,50,107,0.5483,0.254777,2918.11
8709,ARQ,0.03,1,50,104,0.5401,0.25974,2962.41
8710,ARQ,0.03,1,50,108,0.5634,0.253165,2839.9
8711,ARQ,0.03,1,50,95,0.5158,0.275862,3101.98
8712,ARQ,0.03,0,50,151,0.6707,0.199005,2385.57
8713,ARQ,0.03,0,50,152,0.6635,0.19802,2411.45
8714,ARQ,0.03,1,50,107,0.6529,0.254777,2450.6
8715,ARQ,0.03,1,50,79,0.4749,0.310078,3369.13
8716,ARQ,0.03,1,50,96,0.5252,0.273973,3046.46
8717,ARQ,0.03,1,50,132,0.619,0.21978,2584.81
8718,ARQ,0.03,1,50,133,0.6329,0.218579,2528.05
8719,ARQ,0.03,1,50,117,0.5837,0.239521,2741.13
8720,ARQ,0.03,0,50,120,0.589,0.235294,2716.47
8721,ARQ,0.03,1,50,115,0.5696,0.242424,2808.99
8722,ARQ,0.03,1,50,104,0.5403,0.25974,2961.32
8723,ARQ,0.03,1,50,152,0.6705,0.19802,2386.28
8724,ARQ,0.03,1,50,99,0.5397,0.268456,2964.61
8725,ARQ,0.03,1,50,107,0.5502,0.254777,2908.03
8726,ARQ,0.03,0,50,127,0.601,0.225989,2662.23
8727,ARQ,0.03,1,50,100,0.5332,0.266667,3000.75
8728,ARQ,0.03,1,50,125,0.6004,0.228571,2664.89
